dataset,system,display,sari_mean,sari_ci95,bertscore_raw_mean,bertscore_raw_ci95,bertscore_rescaled_mean,bertscore_rescaled_ci95,fkgl_mean,fkgl_ci95
asset,identity,Copy source (identity),53.78,"[53.42, 54.16]",98.63,"[98.53, 98.74]",91.91,"[91.29, 92.52]",11.64,"[11.25, 12.03]"
asset,gold_loo,Gold reference (LOO),43.47,"[42.59, 44.35]",96.59,"[96.39, 96.78]",79.79,"[78.58, 80.94]",8.32,"[7.93, 8.70]"
asset,zeroshot_gemma3,Gemma-3 1B (zero-shot),40.52,"[39.72, 41.27]",83.99,"[83.89, 84.08]",5.12,"[4.53, 5.68]",11.91,"[11.68, 12.16]"
asset,zeroshot_qwen3,Qwen3 1.7B (zero-shot),44.11,"[43.29, 44.98]",96.57,"[96.35, 96.80]",79.69,"[78.39, 81.03]",9.37,"[9.00, 9.71]"
asset,zeroshot_deepseek,DeepSeek-Distill 1.5B (zero-shot),43.19,"[42.12, 44.21]",92.08,"[91.50, 92.62]",53.05,"[49.64, 56.28]",11.18,"[10.80, 11.54]"
asset,ft_gemma3,Gemma-3 1B (fine-tuned),46.57,"[45.77, 47.44]",97.54,"[97.37, 97.73]",85.45,"[84.43, 86.57]",8.75,"[8.36, 9.12]"
asset,ft_qwen3,Qwen3 1.7B (fine-tuned),41.96,"[41.08, 42.80]",96.31,"[96.08, 96.50]",78.11,"[76.80, 79.27]",7.94,"[7.57, 8.29]"
asset,ft_deepseek,DeepSeek-Distill 1.5B (fine-tuned),44.71,"[43.84, 45.57]",97.02,"[96.82, 97.21]",82.32,"[81.14, 83.46]",8.5,"[8.13, 8.86]"
medeasi,identity,Copy source (identity),49.24,"[48.03, 50.47]",92.04,"[91.49, 92.57]",52.86,"[49.60, 55.99]",13.64,"[13.05, 14.20]"
medeasi,zeroshot_gemma3,Gemma-3 1B (zero-shot),37.93,"[36.59, 39.37]",82.26,"[82.10, 82.42]",-5.1,"[-6.08, -4.14]",12.38,"[12.13, 12.63]"
medeasi,zeroshot_qwen3,Qwen3 1.7B (zero-shot),38.36,"[36.85, 39.93]",90.78,"[90.42, 91.13]",45.37,"[43.24, 47.45]",10.27,"[9.86, 10.71]"
medeasi,zeroshot_deepseek,DeepSeek-Distill 1.5B (zero-shot),37.83,"[36.43, 39.23]",87.68,"[87.20, 88.18]",27.03,"[24.18, 29.99]",12.62,"[12.02, 13.30]"
medeasi,ft_gemma3,Gemma-3 1B (fine-tuned),40.27,"[38.55, 42.07]",90.62,"[90.18, 91.05]",44.44,"[41.83, 46.95]",10.62,"[10.12, 11.13]"
medeasi,ft_qwen3,Qwen3 1.7B (fine-tuned),37.36,"[35.43, 39.30]",88.89,"[88.52, 89.28]",34.18,"[31.95, 36.50]",10.54,"[10.03, 11.08]"
medeasi,ft_deepseek,DeepSeek-Distill 1.5B (fine-tuned),37.09,"[35.26, 38.85]",89.52,"[89.11, 89.96]",37.92,"[35.50, 40.51]",9.89,"[9.35, 10.38]"
